iter	RMSE
0	0.1987110239
1	0.1986837812
2	0.1986565891
3	0.1986296368
4	0.1986027821
5	0.1985757351
6	0.1985498312
7	0.1985232349
8	0.1984963042
9	0.1984694238
10	0.1984425801
11	0.1984161665
12	0.1983894293
13	0.1983630561
14	0.1983367769
15	0.1983110403
16	0.1982846145
17	0.1982580604
18	0.1982320369
19	0.1982058018
20	0.1981793867
21	0.1981531941
22	0.1981275049
23	0.1981020875
24	0.1980758341
25	0.1980496296
26	0.1980236284
27	0.1979977231
28	0.1979716602
29	0.1979463025
30	0.1979202802
31	0.1978946494
32	0.1978693641
33	0.1978436646
34	0.1978178097
35	0.1977927144
36	0.1977669471
37	0.1977414221
38	0.1977159448
39	0.1976905837
40	0.197665271
41	0.197640003
42	0.1976143844
43	0.1975891435
44	0.1975641805
45	0.1975393858
46	0.197514484
47	0.1974893536
48	0.1974640984
49	0.1974387409
50	0.1974134309
51	0.1973881683
52	0.197363081
53	0.197338441
54	0.1973136256
55	0.1972885076
56	0.1972636935
57	0.1972388963
58	0.1972138805
59	0.1971889872
60	0.197164767
61	0.1971405922
62	0.1971160342
63	0.1970915223
64	0.1970668549
65	0.1970427321
66	0.1970178607
67	0.1969932827
68	0.1969686171
69	0.1969440963
70	0.196919488
71	0.1968947935
72	0.1968707302
73	0.196846712
74	0.196822812
75	0.1967988419
76	0.1967742408
77	0.1967496328
78	0.1967252204
79	0.1967007193
80	0.1966763825
81	0.1966521877
82	0.1966278811
83	0.1966034609
84	0.1965795504
85	0.1965551137
86	0.1965312483
87	0.1965068914
88	0.1964827472
89	0.1964589303
90	0.1964347538
91	0.196410818
92	0.1963870525
93	0.1963628816
94	0.196338925
95	0.1963152077
96	0.1962909643
97	0.1962672918
98	0.1962436637
99	0.1962200801
100	0.1961960447
101	0.1961720133
102	0.1961484046
103	0.1961244302
104	0.1961005011
105	0.196076969
106	0.1960534811
107	0.1960296816
108	0.1960057952
109	0.1959823517
110	0.1959583901
111	0.1959345936
112	0.195910869
113	0.1958869774
114	0.1958633432
115	0.1958395046
116	0.195816113
117	0.1957924905
118	0.1957687492
119	0.1957454422
120	0.1957221013
121	0.1956985137
122	0.1956752169
123	0.1956515283
124	0.1956282756
125	0.1956050945
126	0.1955817049
127	0.1955581391
128	0.1955345924
129	0.1955115272
130	0.1954882805
131	0.1954650821
132	0.1954419272
133	0.1954185046
134	0.1953949578
135	0.1953714385
136	0.1953480033
137	0.1953249026
138	0.195301595
139	0.1952785412
140	0.1952551266
141	0.1952318713
142	0.1952085229
143	0.1951852184
144	0.1951622185
145	0.1951390286
146	0.1951158776
147	0.1950932162
148	0.1950700995
149	0.1950470262
150	0.1950240799
151	0.195000899
152	0.1949779961
153	0.1949550125
154	0.1949321529
155	0.194909157
156	0.1948862161
157	0.1948633262
158	0.1948405136
159	0.1948177439
160	0.1947947026
161	0.1947718415
162	0.1947491154
163	0.194726432
164	0.1947034403
165	0.1946808031
166	0.1946582084
167	0.1946356563
168	0.1946131466
169	0.1945905776
170	0.1945681136
171	0.1945453236
172	0.1945224626
173	0.194499738
174	0.1944771075
175	0.1944546901
176	0.1944323149
177	0.1944095144
178	0.1943871817
179	0.1943644529
180	0.1943421656
181	0.1943196288
182	0.1942971386
183	0.1942748939
184	0.1942523715
185	0.1942299298
186	0.1942072068
187	0.1941846723
188	0.1941624767
189	0.1941403231
190	0.1941180199
191	0.1940959083
192	0.1940733754
193	0.1940513059
194	0.1940287971
195	0.1940067726
196	0.1939847895
197	0.1939626076
198	0.1939406691
199	0.193918772
200	0.1938962597
201	0.1938739885
202	0.1938516029
203	0.1938297512
204	0.193807293
205	0.1937848771
206	0.1937625555
207	0.1937407521
208	0.1937185092
209	0.1936967502
210	0.1936750323
211	0.1936527245
212	0.1936305511
213	0.1936088808
214	0.1935866295
215	0.1935645337
216	0.1935424436
217	0.1935208154
218	0.1934986871
219	0.1934766005
220	0.1934544909
221	0.1934326812
222	0.1934111011
223	0.1933892299
224	0.1933676938
225	0.1933462325
226	0.1933244925
227	0.1933024759
228	0.1932809841
229	0.1932595329
230	0.1932380708
231	0.193216191
232	0.1931942848
233	0.1931725293
234	0.1931511256
235	0.1931293254
236	0.1931075467
237	0.1930861898
238	0.193064375
239	0.193042796
240	0.1930214804
241	0.1929997635
242	0.1929784914
243	0.1929572594
244	0.1929359404
245	0.1929143413
246	0.1928931529
247	0.1928714292
248	0.1928501778
249	0.1928290329
250	0.1928074582
251	0.1927863565
252	0.1927648018
253	0.1927432985
254	0.1927218359
255	0.1927003273
256	0.1926790155
257	0.1926579671
258	0.1926369585
259	0.1926155689
260	0.1925939841
261	0.1925726561
262	0.1925513205
263	0.192530356
264	0.1925090564
265	0.1924878997
266	0.1924666817
267	0.1924454172
268	0.1924244996
269	0.1924036215
270	0.1923823262
271	0.1923609531
272	0.1923401182
273	0.1923190246
274	0.1922977933
275	0.1922770016
276	0.1922562492
277	0.192235536
278	0.1922144677
279	0.1921937941
280	0.1921727128
281	0.1921515244
282	0.1921305399
283	0.192109497
284	0.1920884436
285	0.1920675699
286	0.1920469438
287	0.1920259169
288	0.1920048759
289	0.1919839761
290	0.1919629544
291	0.191942372
292	0.1919218286
293	0.1919013241
294	0.1918808583
295	0.1918603847
296	0.1918395469
297	0.1918188507
298	0.191798192
299	0.1917773465
300	0.1917566677
301	0.1917362511
302	0.191715749
303	0.1916953714
304	0.1916745701
305	0.1916542342
306	0.1916339368
307	0.1916131658
308	0.1915924824
309	0.1915717724
310	0.1915515233
311	0.191530878
312	0.1915106677
313	0.1914904956
314	0.1914703617
315	0.1914498419
316	0.191429366
317	0.1914089264
318	0.1913887459
319	0.1913682025
320	0.1913476864
321	0.1913270896
322	0.1913066677
323	0.1912862462
324	0.191266171
325	0.1912458589
326	0.1912254898
327	0.1912051701
328	0.1911850512
329	0.1911650214
330	0.1911450294
331	0.1911250754
332	0.1911047199
333	0.1910843621
334	0.1910642944
335	0.1910443823
336	0.1910241474
337	0.1910042763
338	0.1909842223
339	0.1909640378
340	0.1909439423
341	0.1909241131
342	0.1909040592
343	0.19088391
344	0.1908640984
345	0.1908444725
346	0.1908246966
347	0.1908049122
348	0.1907848696
349	0.1907651259
350	0.1907454195
351	0.1907255074
352	0.1907054449
353	0.1906857795
354	0.1906661514
355	0.1906465605
356	0.1906270067
357	0.19060749
358	0.1905874479
359	0.1905673852
360	0.1905479067
361	0.1905284651
362	0.1905090604
363	0.1904891556
364	0.1904697909
365	0.1904504629
366	0.1904305409
367	0.1904112502
368	0.1903915271
369	0.1903717811
370	0.1903520375
371	0.1903323314
372	0.1903130895
373	0.1902932375
374	0.1902736544
375	0.1902544528
376	0.1902352876
377	0.1902161587
378	0.1901963223
379	0.1901765553
380	0.1901568136
381	0.1901370582
382	0.1901173614
383	0.1900977955
384	0.1900785487
385	0.1900594678
386	0.1900400083
387	0.1900210427
388	0.1900020014
389	0.1899825444
390	0.1899634739
391	0.1899441767
392	0.1899246836
393	0.1899051234
394	0.1898856743
395	0.1898662919
396	0.1898469028
397	0.1898273663
398	0.189807938
399	0.1897885465
400	0.1897691718
401	0.1897501882
402	0.1897312407
403	0.1897123291
404	0.1896929096
405	0.1896735865
406	0.1896543882
407	0.1896352264
408	0.1896158932
409	0.1895968648
410	0.1895775985
411	0.1895585394
412	0.1895396756
413	0.1895206046
414	0.1895015467
415	0.1894827223
416	0.189463694
417	0.1894449085
418	0.1894261586
419	0.1894074444
420	0.1893884642
421	0.189369446
422	0.1893505108
423	0.1893318361
424	0.1893129175
425	0.1892940348
426	0.1892751042
427	0.1892563288
428	0.1892376969
429	0.1892191005
430	0.1892005394
431	0.1891817488
432	0.18916298
433	0.1891441753
434	0.1891253146
435	0.1891066335
436	0.189088113
437	0.1890696276
438	0.1890511775
439	0.1890327624
440	0.1890139797
441	0.1889952326
442	0.1889768583
443	0.188958519
444	0.1889398858
445	0.1889213053
446	0.1889026748
447	0.1888840859
448	0.1888653317
449	0.1888466812
450	0.1888280432
451	0.1888097476
452	0.1887914869
453	0.188772859
454	0.188754636
455	0.188735964
456	0.1887173823
457	0.1886991977
458	0.1886810477
459	0.1886626235
460	0.1886442589
461	0.1886259719
462	0.1886075516
463	0.1885894408
464	0.1885713644
465	0.1885529228
466	0.1885345016
467	0.1885160878
468	0.1884980502
469	0.1884799926
470	0.188461992
471	0.1884439715
472	0.1884258054
473	0.1884077015
474	0.1883897389
475	0.1883714594
476	0.1883531075
477	0.1883349976
478	0.1883170735
479	0.1882989956
480	0.1882811086
481	0.1882632556
482	0.1882450415
483	0.1882267764
484	0.188208961
485	0.1881911796
486	0.1881729551
487	0.1881552105
488	0.1881371847
489	0.1881190473
490	0.1881015768
491	0.188083364
492	0.1880654256
493	0.1880473184
494	0.1880292457
495	0.1880112442
496	0.1879933808
497	0.187975687
498	0.1879580269
499	0.1879400308
500	0.1879219699
501	0.1879042514
502	0.187886438
503	0.1878688184
504	0.1878508877
505	0.1878333045
506	0.1878153872
507	0.1877978382
508	0.1877803226
509	0.1877623736
510	0.1877448921
511	0.1877270196
512	0.1877091812
513	0.1876915424
514	0.1876741005
515	0.1876564521
516	0.1876390464
517	0.187621674
518	0.1876043346
519	0.18758654
520	0.1875688002
521	0.1875509973
522	0.187533306
523	0.1875156879
524	0.187498394
525	0.1874807993
526	0.1874635414
527	0.1874458658
528	0.1874281527
529	0.1874109313
530	0.1873932527
531	0.1873760648
532	0.1873583519
533	0.1873407359
534	0.1873235845
535	0.1873064657
536	0.1872889895
537	0.187271904
538	0.1872544618
539	0.1872374095
540	0.1872203897
541	0.1872034024
542	0.1871864476
543	0.1871689714
544	0.1871514605
545	0.1871343482
546	0.187117432
547	0.187100548
