iter	Passed	Remaining
0	17	17921
1	33	16478
2	48	16102
3	69	17351
4	84	16845
5	98	16287
6	111	15765
7	125	15539
8	138	15275
9	151	15021
10	165	14904
11	179	14759
12	193	14655
13	205	14477
14	219	14446
15	233	14381
16	244	14159
17	258	14110
18	272	14081
19	287	14065
20	301	14037
21	316	14048
22	329	14000
23	344	13996
24	357	13939
25	370	13889
26	384	13856
27	394	13694
28	407	13634
29	420	13581
30	433	13550
31	447	13526
32	460	13488
33	473	13460
34	486	13409
35	502	13458
36	521	13565
37	534	13526
38	552	13611
39	565	13583
40	579	13552
41	593	13529
42	606	13489
43	620	13471
44	632	13430
45	645	13390
46	657	13331
47	669	13274
48	681	13224
49	693	13174
50	706	13145
51	719	13116
52	731	13072
53	743	13025
54	756	13001
55	769	12968
56	785	12989
57	800	13000
58	812	12953
59	824	12912
60	836	12882
61	848	12841
62	861	12817
63	874	12793
64	886	12753
65	898	12722
66	911	12696
67	923	12662
68	936	12641
69	956	12710
70	971	12713
71	986	12715
72	999	12697
73	1013	12685
74	1026	12657
75	1038	12628
76	1051	12606
77	1065	12595
78	1078	12570
79	1092	12559
80	1103	12521
81	1116	12503
82	1128	12463
83	1140	12438
84	1153	12412
85	1164	12379
86	1176	12342
87	1192	12354
88	1204	12327
89	1217	12307
90	1230	12286
91	1242	12258
92	1257	12265
93	1271	12252
94	1286	12252
95	1298	12224
96	1311	12208
97	1323	12181
98	1336	12166
99	1349	12146
100	1363	12133
101	1375	12113
102	1389	12098
103	1400	12064
104	1412	12040
105	1424	12013
106	1460	12191
107	1475	12184
108	1490	12184
109	1503	12164
110	1516	12143
111	1529	12130
112	1542	12104
113	1580	12282
114	1597	12294
115	1608	12257
116	1620	12230
117	1632	12202
118	1646	12188
119	1660	12179
120	1673	12156
121	1685	12131
122	1698	12113
123	1711	12089
124	1724	12069
125	1736	12046
126	1749	12022
127	1761	12000
128	1774	11979
129	1788	11966
130	1801	11950
131	1813	11924
132	1825	11898
133	1839	11889
134	1855	11886
135	1869	11876
136	1885	11876
137	1897	11852
138	1910	11833
139	1922	11810
140	1935	11793
141	1950	11785
142	1962	11764
143	1974	11736
144	1986	11712
145	2001	11705
146	2013	11683
147	2028	11676
148	2043	11672
149	2071	11740
150	2085	11725
151	2098	11705
152	2110	11686
153	2124	11669
154	2136	11647
155	2148	11622
156	2160	11598
157	2172	11575
158	2188	11577
159	2204	11575
160	2218	11561
161	2234	11559
162	2249	11552
163	2261	11529
164	2274	11509
165	2285	11480
166	2296	11456
167	2311	11446
168	2324	11428
169	2337	11412
170	2349	11392
171	2363	11376
172	2375	11357
173	2387	11335
174	2400	11315
175	2412	11296
176	2427	11285
177	2438	11262
178	2451	11246
179	2464	11228
180	2479	11220
181	2496	11219
182	2508	11197
183	2518	11170
184	2531	11153
185	2543	11129
186	2557	11118
187	2568	11093
188	2582	11082
189	2596	11070
190	2609	11054
191	2623	11041
192	2635	11018
193	2647	10998
194	2660	10983
195	2674	10970
196	2687	10952
197	2700	10940
